Sample1	Sample2	Intersection	Union	Jaccard	N_Intersections
B03_S15_human	A11_S11_human	192119	28379619	0.00676961	1810
B03_S15_human	B12_S24_human	340497	35092743	0.00970277	3431
B03_S15_human	A04_S4_human	318872	33958448	0.00939006	3410
B03_S15_human	B10_S22_human	230790	28497594	0.00809858	2243
B03_S15_human	C07_S31_human	104013	17916077	0.00580557	1128
B03_S15_human	C11_S35_human	1679	14548577	0.000115406	12
A06_S6_human	A07_S7_human	189355	23341159	0.00811249	1968
A06_S6_human	C04_S28_human	128246	23404888	0.00547945	1151
A06_S6_human	A10_S10_human	236499	29417959	0.00803927	2400
A06_S6_human	A12_S12_human	380414	42867509	0.00887418	3979
A06_S6_human	C01_S25_human	82339	17110547	0.00481218	838
A06_S6_human	A01_S1_human	219150	26162728	0.00837642	2382
A06_S6_human	A08_S8_human	246256	25703657	0.00958058	2725
A06_S6_human	B07_S19_human	284899	31863248	0.0089413	2929
A06_S6_human	B08_S20_human	191365	23243572	0.00823303	2032
A06_S6_human	A05_S5_human	289394	32183581	0.00899198	3010
A06_S6_human	A11_S11_human	182117	28023786	0.00649866	1714
A06_S6_human	B12_S24_human	302720	34764685	0.00870769	3108
A06_S6_human	A04_S4_human	312810	33598675	0.00931019	3388
A06_S6_human	B10_S22_human	211324	28151225	0.00750674	2096
A06_S6_human	C07_S31_human	92748	17561507	0.00528132	1013
A06_S6_human	C11_S35_human	1802	14182619	0.000127057	14
A07_S7_human	C04_S28_human	98984	18647976	0.00530803	896
A07_S7_human	A10_S10_human	203762	24664522	0.00826134	2137
A07_S7_human	A12_S12_human	319031	38142718	0.00836414	3441
A07_S7_human	C01_S25_human	72481	12334231	0.00587641	797
A07_S7_human	A01_S1_human	188344	21407360	0.0087981	2086
A07_S7_human	A08_S8_human	205812	20957927	0.00982025	2412
A07_S7_human	B07_S19_human	237767	27124206	0.00876586	2553
A07_S7_human	B08_S20_human	170340	18478423	0.00921832	1874
A07_S7_human	A05_S5_human	244205	27442596	0.00889876	2709
A07_S7_human	A11_S11_human	148029	23271700	0.0063609	1395
A07_S7_human	B12_S24_human	246079	30035152	0.00819303	2644
A07_S7_human	A04_S4_human	265006	28860305	0.00918237	2895
A07_S7_human	B10_S22_human	167142	23409233	0.00714	1730
A07_S7_human	C07_S31_human	79624	12788457	0.00622624	942
A07_S7_human	C11_S35_human	1528	9396719	0.00016261	12
C04_S28_human	A10_S10_human	127714	24743190	0.00516158	1181
C04_S28_human	A12_S12_human	205566	38258803	0.00537304	2001
C04_S28_human	C01_S25_human	51397	12357935	0.00415903	440
C04_S28_human	A01_S1_human	108047	21490277	0.00502772	984
C04_S28_human	A08_S8_human	119704	21046655	0.00568755	1156
C04_S28_human	B07_S19_human	177257	27187336	0.00651984	1554
C04_S28_human	B08_S20_human	109786	18541597	0.00592107	969
C04_S28_human	A05_S5_human	151893	27537528	0.00551585	1428
C04_S28_human	A11_S11_human	123791	23298558	0.00531325	1057
C04_S28_human	B12_S24_human	190414	30093437	0.00632743	1688
C04_S28_human	A04_S4_human	159769	28968162	0.00551533	1522
C04_S28_human	B10_S22_human	137707	23441288	0.00587455	1231
C04_S28_human	C07_S31_human	59888	12810813	0.0046748	529
C04_S28_human	C11_S35_human	1456	9399411	0.000154903	11
A10_S10_human	A12_S12_human	401614	44184079	0.00908956	4240
A10_S10_human	C01_S25_human	83063	18447593	0.00450265	849
A10_S10_human	A01_S1_human	233530	27486118	0.00849629	2457
A10_S10_human	A08_S8_human	237078	27050605	0.00876424	2660
A10_S10_human	B07_S19_human	306172	33179745	0.00922768	3137
A10_S10_human	B08_S20_human	207168	24565539	0.00843328	2185
A10_S10_human	A05_S5_human	306244	33504501	0.00914038	3204
A10_S10_human	A11_S11_human	194791	29348882	0.00663708	1829
A10_S10_human	B12_S24_human	311001	36094174	0.00861638	3175
A10_S10_human	A04_S4_human	330475	34918780	0.0094641	3458
A10_S10_human	B10_S22_human	224017	29476302	0.0075999	2265
A10_S10_human	C07_S31_human	95489	18896536	0.00505325	1020
A10_S10_human	C11_S35_human	1784	15520407	0.000114945	15
A12_S12_human	C01_S25_human	125940	31998181	0.00393585	1398
A12_S12_human	A01_S1_human	370537	40942576	0.00905016	4148
A12_S12_human	A08_S8_human	400232	40480916	0.00988693	4732
A12_S12_human	B07_S19_human	497855	46581527	0.0106878	5305
A12_S12_human	B08_S20_human	322933	38043239	0.00848858	3570
A12_S12_human	A05_S5_human	500857	46903353	0.0106785	5503
A12_S12_human	A11_S11_human	306652	42830486	0.00715967	3048
