run_id,db_name,runtime,sample,preqc_pct_dups_r1,preqc_pct_dups_r2,preqc_pct_gc_r1,preqc_pct_gc_r2,preqc_avg_len_r1,preqc_avg_len_r2,preqc_med_len_r1,preqc_med_len_r2,preqc_fail_r1,preqc_fail_r2,trim_clip,trim_head,trim_lead,trim_crop,trim_sliding_win,trim_trail,trim_min_len,trim_paired,trim_both,trim_fw_only,trim_rev_only,trim_dropped,postqc_pct_dups_r1,postqc_pct_dups_r2,postqc_pct_gc_r1,postqc_pct_gc_r2,postqc_avg_len_r1,postqc_avg_len_r2,postqc_med_len_r1,postqc_med_len_r2,postqc_fail_r1,postqc_fail_r2,bt_prefix,bt_mode,bt_sensitivity,bt_mixed,bt_discordant,bt_paired,bt_conc_0,bt_conc_1,bt_conc_more,bt_avg_len,bt_med_len,kraken2_min_hits,kraken2_total,kraken2_classified,kraken2_unclassified,kraken2_avg_len,kraken2_med_len,bracken_thresh,bracken_species,bracken_species_above_thresh,bracken_species_below_thresh,bracken_kept,bracken_discarded,bracken_redistributed,bracken_not_redistributed,bracken_total
run_0504_0954,custom,00:00:11,ZP2_S21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,293458,229930,63528,TODO,TODO,0,10,10,0,228874,0,1056,0,229930
run_0504_0954,custom,00:00:11,ZP3_S22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,326874,256656,70218,TODO,TODO,0,10,10,0,255371,0,1283,2,256654
run_0204_1555,k2_standard_16gb_20241228,00:02:10,ZC1_S4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,287718,213967,73751,TODO,TODO,0,290,290,0,63754,0,150197,16,213951
run_0204_1555,k2_standard_16gb_20241228,00:02:10,ZC2_S5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,267587,174544,93043,TODO,TODO,0,254,254,0,45736,0,128788,20,174524
run_0204_1555,k2_standard_16gb_20241228,00:02:10,ZC3_S6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,273957,185233,88724,TODO,TODO,0,252,252,0,53275,0,131930,28,185205
run_0204_1555,k2_standard_16gb_20241228,00:02:10,ZC4_S7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,238889,154353,84536,TODO,TODO,0,195,195,0,44753,0,109585,15,154338
run_0204_1555,k2_standard_16gb_20241228,00:02:10,ZP1_S20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,299544,213364,86180,TODO,TODO,0,263,263,0,61719,0,151615,30,213334
run_0204_1555,k2_standard_16gb_20241228,00:02:10,ZP2_S21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,293458,197863,95595,TODO,TODO,0,241,241,0,56034,0,141801,28,197835
run_0204_1555,k2_standard_16gb_20241228,00:02:10,ZP3_S22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,326874,217667,109207,TODO,TODO,0,240,240,0,61282,0,156363,22,217645
run_0204_1625,k2_eupathdb48_20230407,00:01:35,ZC1_S4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,287718,14660,273058,TODO,TODO,10,187,24,163,13888,499,238,35,14126
run_0204_1625,k2_eupathdb48_20230407,00:01:35,ZC2_S5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,267587,13163,254424,TODO,TODO,10,172,12,160,12440,477,202,44,12642
run_0204_1625,k2_eupathdb48_20230407,00:01:35,ZC3_S6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,273957,15538,258419,TODO,TODO,10,181,12,169,14782,487,228,41,15010
run_0204_1625,k2_eupathdb48_20230407,00:01:35,ZC4_S7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,238889,11864,227025,TODO,TODO,10,165,10,155,11260,386,145,73,11405
run_0204_1625,k2_eupathdb48_20230407,00:01:35,ZP1_S20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,299544,11126,288418,TODO,TODO,10,185,14,171,10342,550,167,67,10509
run_0204_1625,k2_eupathdb48_20230407,00:01:35,ZP2_S21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,293458,10477,282981,TODO,TODO,10,166,13,153,9859,421,157,40,10016
run_0204_1625,k2_eupathdb48_20230407,00:01:35,ZP3_S22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,326874,11762,315112,TODO,TODO,10,180,14,166,10989,532,161,80,11150
run_2603_1236,k2_standard_20241228,00:08:57,ZC1_S4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,304354,272227,32127,TODO,TODO,10,600,44,556,97466,930,173638,193,271104
run_2603_1236,k2_standard_20241228,00:08:57,ZC2_S5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,294096,251998,42098,TODO,TODO,10,478,46,432,79495,694,171698,111,251193
run_2603_1236,k2_standard_20241228,00:08:57,ZC3_S6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,297184,256292,40892,TODO,TODO,10,507,44,463,88482,774,166929,107,255411
run_2603_1236,k2_standard_20241228,00:08:57,ZC4_S7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,264206,224455,39751,TODO,TODO,10,457,41,416,76236,632,147460,127,223696
run_2603_1236,k2_standard_20241228,00:08:57,ZP1_S20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,320064,286813,33251,TODO,TODO,10,522,45,477,98817,793,187051,152,285868
run_2603_1236,k2_standard_20241228,00:08:57,ZP2_S21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,319707,280484,39223,TODO,TODO,10,517,43,474,94149,793,185363,179,279512
run_2603_1236,k2_standard_20241228,00:08:57,ZP3_S22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,358997,312522,46475,TODO,TODO,10,507,45,462,103851,763,207764,144,311615
run_2603_1231,k2_standard_08gb_20241228,00:01:13,ZC1_S4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,304354,169032,135322,TODO,TODO,10,201,24,177,44244,293,124432,63,168676
run_2603_1231,k2_standard_08gb_20241228,00:01:13,ZC2_S5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,294096,126706,167390,TODO,TODO,10,164,16,148,29438,278,96944,46,126382
run_2603_1231,k2_standard_08gb_20241228,00:01:13,ZC3_S6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,297184,138673,158511,TODO,TODO,10,173,24,149,35490,242,102897,44,138387
run_2603_1231,k2_standard_08gb_20241228,00:01:13,ZC4_S7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,264206,113081,151125,TODO,TODO,10,148,16,132,29729,239,83083,30,112812
run_2603_1231,k2_standard_08gb_20241228,00:01:13,ZP1_S20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,320064,159981,160083,TODO,TODO,10,164,22,142,41693,238,118005,45,159698
