Sample1	Sample2	Intersection	Union	Jaccard	N_Intersections
A12_S12_human	A04_S4_human	10597	504808	0.0209921	40
A12_S12_human	B10_S22_human	11616	514730	0.0225672	45
A12_S12_human	C07_S31_human	0	272095	0	0
A12_S12_human	C11_S35_human	0	269162	0	0
C01_S25_human	A01_S1_human	276	506135	0.000545309	3
C01_S25_human	A08_S8_human	1064	334851	0.00317753	6
C01_S25_human	B07_S19_human	0	137749	0	0
C01_S25_human	B08_S20_human	972	617768	0.00157341	7
C01_S25_human	A05_S5_human	686	556336	0.00123307	4
C01_S25_human	A11_S11_human	68	262054	0.000259489	1
C01_S25_human	B12_S24_human	922	682234	0.00135144	6
C01_S25_human	A04_S4_human	197	382761	0.000514682	1
C01_S25_human	B10_S22_human	375	393524	0.000952928	6
C01_S25_human	C07_S31_human	0	139648	0	0
C01_S25_human	C11_S35_human	0	136715	0	0
A01_S1_human	A08_S8_human	10682	560716	0.0190506	60
A01_S1_human	B07_S19_human	140	373092	0.000375243	2
A01_S1_human	B08_S20_human	31810	822413	0.0386789	132
A01_S1_human	A05_S5_human	26700	765805	0.0348653	113
A01_S1_human	A11_S11_human	7559	490046	0.0154251	34
A01_S1_human	B12_S24_human	29585	889054	0.0332769	151
A01_S1_human	A04_S4_human	18247	600194	0.0304018	92
A01_S1_human	B10_S22_human	17658	611724	0.028866	75
A01_S1_human	C07_S31_human	183	374948	0.000488068	1
A01_S1_human	C11_S35_human	0	372198	0	0
A08_S8_human	B07_S19_human	414	202322	0.00204624	3
A08_S8_human	B08_S20_human	11061	672666	0.0164435	50
A08_S8_human	A05_S5_human	9397	612612	0.0153392	42
A08_S8_human	A11_S11_human	5518	321591	0.0171584	28
A08_S8_human	B12_S24_human	11271	736872	0.0152957	60
A08_S8_human	A04_S4_human	8059	439886	0.0183207	39
A08_S8_human	B10_S22_human	9105	449781	0.0202432	46
A08_S8_human	C07_S31_human	0	204635	0	0
A08_S8_human	C11_S35_human	0	201702	0	0
B07_S19_human	B08_S20_human	140	485421	0.000288409	2
B07_S19_human	A05_S5_human	0	423843	0	0
B07_S19_human	A11_S11_human	0	128943	0	0
B07_S19_human	B12_S24_human	140	549837	0.000254621	2
B07_S19_human	A04_S4_human	140	249639	0.00056081	2
B07_S19_human	B10_S22_human	140	260580	0.000537263	2
B07_S19_human	C07_S31_human	0	6469	0	0
B07_S19_human	C11_S35_human	0	3536	0	0
B08_S20_human	A05_S5_human	31928	872906	0.0365767	136
B08_S20_human	A11_S11_human	6575	603359	0.0108973	38
B08_S20_human	B12_S24_human	36741	994227	0.0369543	154
B08_S20_human	A04_S4_human	24898	705872	0.0352727	90
B08_S20_human	B10_S22_human	22699	719012	0.0315697	89
B08_S20_human	C07_S31_human	228	487232	0.00046795	1
B08_S20_human	C11_S35_human	0	484527	0	0
A05_S5_human	A11_S11_human	7645	540571	0.0141425	34
A05_S5_human	B12_S24_human	27191	942059	0.0288634	129
A05_S5_human	A04_S4_human	16958	652094	0.0260055	62
A05_S5_human	B10_S22_human	18714	661279	0.0282997	94
A05_S5_human	C07_S31_human	0	425742	0	0
A05_S5_human	C11_S35_human	0	422809	0	0
A11_S11_human	B12_S24_human	6024	668326	0.00901357	35
A11_S11_human	A04_S4_human	4013	370139	0.0108419	18
A11_S11_human	B10_S22_human	5103	379990	0.0134293	28
A11_S11_human	C07_S31_human	0	130842	0	0
A11_S11_human	C11_S35_human	0	127909	0	0
B12_S24_human	A04_S4_human	19372	775814	0.0249699	83
B12_S24_human	B10_S22_human	25652	780475	0.0328672	115
B12_S24_human	C07_S31_human	0	551876	0	0
B12_S24_human	C11_S35_human	0	548943	0	0
A04_S4_human	B10_S22_human	11676	494253	0.0236235	54
A04_S4_human	C07_S31_human	0	251678	0	0
A04_S4_human	C11_S35_human	0	248745	0	0
B10_S22_human	C07_S31_human	529	262090	0.00201839	2
B10_S22_human	C11_S35_human	0	259686	0	0
C07_S31_human	C11_S35_human	0	5435	0	0
